ENSG,Degradation rates (min-1),R2 (quality of curve fitting),t1/2 (min),t1/2 (hours),Cv of slope
YBL045C,0.0013,0.992,534.5,8.9,0.8%
YKL002W,0.0013,0.995,534.7,8.9,0.5%
YIR022W,0.0013,0.996,534.8,8.9,0.3%
YLR440C,0.0013,0.997,534.9,8.9,0.2%
YGR005C,0.0013,0.998,534.9,8.9,0.2%
YOR219C,0.0013,1.000,534.9,8.9,0.0%
YMR041C,0.0013,0.997,535.2,8.9,0.1%
YPL259C,0.0013,0.998,535.3,8.9,0.2%
YLR095C,0.0013,0.994,535.4,8.9,0.3%
YDR245W,0.0013,0.993,535.4,8.9,0.3%
YNL227C,0.0013,0.998,535.6,8.9,0.1%
YMR217W,0.0013,0.998,535.7,8.9,0.2%
YJL046W,0.0013,0.631,535.8,8.9,7.9%
YDL122W,0.0013,0.997,535.9,8.9,0.1%
YGL065C,0.0013,0.997,535.9,8.9,0.2%
YMR130W,0.0013,0.992,536.0,8.9,0.8%
YLR401C,0.0013,0.997,536.2,8.9,0.3%
YMR086W,0.0013,0.996,536.3,8.9,0.2%
YLR221C,0.0013,0.998,536.4,8.9,0.1%
YJL165C,0.0013,0.996,536.8,8.9,0.3%
YOL125W,0.0013,0.979,537.0,9.0,0.8%
YML035C,0.0013,0.998,537.0,9.0,0.1%
YDR013W,0.0013,0.990,537.2,9.0,1.2%
YPL050C,0.0013,0.997,537.3,9.0,0.2%
YDL045C,0.0013,0.996,537.3,9.0,0.3%
YJL179W,0.0013,0.996,537.3,9.0,0.3%
YAL013W,0.0013,0.996,537.4,9.0,0.3%
YNL249C,0.0013,0.998,537.5,9.0,0.1%
YKR065C,0.0013,0.994,537.6,9.0,0.6%
YOL087C,0.0013,0.998,537.8,9.0,0.2%
YMR223W,0.0013,0.996,537.9,9.0,0.6%
YNR033W,0.0013,0.996,537.9,9.0,0.1%
YNL084C,0.0013,0.997,538.2,9.0,0.3%
YKL203C,0.0013,0.995,538.6,9.0,0.4%
YPL218W,0.0013,0.989,538.6,9.0,1.0%
YOL027C,0.0013,0.997,538.7,9.0,0.2%
YNL236W,0.0013,0.993,538.9,9.0,0.8%
YDR541C,0.0013,0.985,539.1,9.0,1.0%
YKL092C,0.0013,0.992,539.1,9.0,0.8%
YDL212W,0.0013,0.998,539.2,9.0,0.2%
YHL031C,0.0013,0.990,539.4,9.0,0.9%
YDL166C,0.0013,0.993,539.4,9.0,0.6%
YDR051C,0.0013,0.995,539.4,9.0,0.2%
YOL115W,0.0013,0.991,539.5,9.0,1.0%
YGL145W,0.0013,0.997,539.6,9.0,0.3%
YKR018C,0.0013,0.999,539.7,9.0,0.1%
YLL036C,0.0013,0.996,540.1,9.0,0.5%
YLR220W,0.0013,0.993,540.5,9.0,0.4%
YBR149W,0.0013,0.999,540.7,9.0,0.1%
YDL086W,0.0013,1.000,540.7,9.0,0.0%
YHR127W,0.0013,0.997,541.0,9.0,0.1%
YGR122W,0.0013,0.994,541.1,9.0,0.7%
YGL241W,0.0013,0.995,541.3,9.0,0.5%
YER025W,0.0013,0.998,541.3,9.0,0.2%
YLR449W,0.0013,0.998,541.3,9.0,0.2%
YOR085W,0.0013,0.997,541.5,9.0,0.2%
YGR162W,0.0013,0.998,541.5,9.0,0.1%
YHR028C,0.0013,0.994,541.5,9.0,0.4%
YBR126C,0.0013,0.997,541.6,9.0,0.2%
YNL267W,0.0013,0.995,541.7,9.0,0.4%
YGR193C,0.0013,0.997,541.7,9.0,0.3%
YER020W,0.0013,0.999,541.8,9.0,0.2%
YDR394W,0.0013,0.964,541.9,9.0,1.2%
YPL226W,0.0013,0.998,541.9,9.0,0.2%
YML112W,0.0013,0.993,542.0,9.0,0.4%
YLR043C,0.0013,0.997,542.2,9.0,0.3%
YBR245C,0.0013,0.998,542.3,9.0,0.2%
YDL178W,0.0013,0.996,542.4,9.0,0.3%
YGL016W,0.0013,0.989,542.5,9.0,1.0%
YMR129W,0.0013,0.998,542.5,9.0,0.2%
YDR246W,0.0013,0.996,542.7,9.0,0.3%
YGL092W,0.0013,0.997,542.7,9.0,0.2%
YKR072C,0.0013,0.999,542.8,9.0,0.1%
YLR249W,0.0013,0.995,542.9,9.0,0.3%
YNL014W,0.0013,0.995,542.9,9.0,0.3%
YKL018C-A,0.0013,1.000,543.0,9.1,0.0%
YDR032C,0.0013,0.817,543.2,9.1,6.7%
YBR143C,0.0013,0.997,543.3,9.1,0.3%
YOR319W,0.0013,0.997,543.3,9.1,0.2%
YJL146W,0.0013,0.993,543.4,9.1,0.5%
YMR080C,0.0013,0.970,543.5,9.1,1.2%
YFL014W,0.0013,0.990,543.7,9.1,0.5%
YGR202C,0.0013,0.997,543.9,9.1,0.3%
YKL114C,0.0013,0.998,544.0,9.1,0.2%
YOL138C,0.0013,0.988,544.2,9.1,1.3%
YDR257C,0.0013,0.857,544.3,9.1,2.3%
YCL057W,0.0013,0.998,544.4,9.1,0.2%
YCR028C-A,0.0013,0.997,544.4,9.1,0.2%
YJL041W,0.0013,0.999,544.5,9.1,0.0%
YKL165C,0.0013,0.987,544.5,9.1,2.4%
YHR024C,0.0013,0.998,544.6,9.1,0.2%
YDR068W,0.0013,0.899,544.7,9.1,3.4%
YLR207W,0.0013,0.994,544.7,9.1,0.5%
YAR007C,0.0013,0.996,544.9,9.1,0.4%
YLR055C,0.0013,0.999,544.9,9.1,0.1%
YHR199C,0.0013,0.934,544.9,9.1,1.0%
YHR089C,0.0013,0.998,545.1,9.1,0.2%
YDR280W,0.0013,0.998,545.2,9.1,0.1%
YLR258W,0.0013,0.997,545.3,9.1,0.1%
YDR310C,0.0013,0.996,545.9,9.1,0.3%
YNR023W,0.0013,0.998,545.9,9.1,0.3%
YLR325C,0.0013,0.993,546.0,9.1,0.5%
YEL034W,0.0013,0.997,546.0,9.1,0.2%
YBR170C,0.0013,0.999,546.0,9.1,0.1%
YOR311C,0.0013,0.997,546.1,9.1,0.2%
YIL065C,0.0013,1.000,546.1,9.1,0.0%
YAL026C,0.0013,0.999,546.4,9.1,0.1%
YEL056W,0.0013,0.993,546.6,9.1,0.6%
YDR101C,0.0013,0.998,546.6,9.1,0.1%
YPL152W,0.0013,0.996,546.6,9.1,0.4%
YOL149W,0.0013,0.996,546.7,9.1,0.3%
YMR004W,0.0013,0.997,546.7,9.1,0.3%
YJL069C,0.0013,0.991,547.1,9.1,0.9%
YPR152C,0.0013,0.981,547.2,9.1,2.4%
YDR390C,0.0013,0.983,547.2,9.1,0.7%
YOR204W,0.0013,0.996,547.3,9.1,0.3%
YLR438C-A,0.0013,0.990,547.3,9.1,0.8%
YER113C,0.0013,0.995,547.5,9.1,0.6%
YJL117W,0.0013,1.000,547.6,9.1,0.0%
YGR200C,0.0013,0.996,547.7,9.1,0.3%
YKR079C,0.0013,0.999,547.9,9.1,0.1%
YBR263W,0.0013,0.997,547.9,9.1,0.2%
YMR243C,0.0013,0.969,547.9,9.1,3.3%
YCR076C,0.0013,0.998,548.1,9.1,0.9%
YPR004C,0.0013,0.996,548.6,9.1,0.3%
YNR013C,0.0013,0.995,548.6,9.1,0.4%
YKL181W,0.0013,0.996,548.8,9.1,0.3%
YKL210W,0.0013,0.998,549.1,9.2,0.1%
YGR263C,0.0013,0.990,549.4,9.2,1.3%
YJL164C,0.0013,0.996,549.6,9.2,0.2%
YOR140W,0.0013,0.983,549.6,9.2,1.1%
YJR067C,0.0013,0.994,549.7,9.2,0.7%
YDR376W,0.0013,0.997,549.7,9.2,0.3%
YDR190C,0.0013,0.998,549.9,9.2,0.2%
YDR156W,0.0013,0.999,550.0,9.2,0.1%
YGL050W,0.0013,0.995,550.0,9.2,0.4%
YHR188C,0.0013,0.995,550.1,9.2,0.1%
YAL029C,0.0013,0.997,550.1,9.2,0.3%
YDR362C,0.0013,0.996,550.2,9.2,1.2%
YGR233C,0.0013,0.999,550.5,9.2,0.1%
YOL022C,0.0013,0.998,550.5,9.2,0.2%
YJR070C,0.0013,0.997,550.6,9.2,0.2%
YOR123C,0.0013,0.996,550.6,9.2,0.3%
YOR021C,0.0013,0.998,550.6,9.2,0.1%
YER022W,0.0013,0.996,550.7,9.2,0.4%
YLR250W,0.0013,0.993,550.7,9.2,0.7%
YOR253W,0.0013,0.998,550.9,9.2,0.1%
YDR477W,0.0013,0.997,550.9,9.2,0.3%
YPL245W,0.0013,0.994,551.0,9.2,0.4%
YJL074C,0.0013,0.996,551.0,9.2,0.3%
YMR183C,0.0013,0.995,551.2,9.2,0.4%
YPR111W,0.0013,0.998,551.3,9.2,0.2%
YDR303C,0.0013,0.997,551.3,9.2,0.2%
YDR471W,0.0013,0.995,551.3,9.2,0.3%
YHR010W,0.0013,0.995,551.3,9.2,0.3%
YBR130C,0.0013,0.996,551.3,9.2,0.3%
YOR232W,0.0013,0.997,551.3,9.2,0.2%
YPL120W,0.0013,1.000,551.3,9.2,0.1%
YBR052C,0.0013,0.999,551.4,9.2,0.0%
YNL313C,0.0013,0.996,551.4,9.2,0.3%
YER057C,0.0013,0.999,551.4,9.2,0.0%
YNL206C,0.0013,0.994,551.5,9.2,0.5%
YNL258C,0.0013,0.994,551.6,9.2,0.4%
YLL023C,0.0013,0.998,551.7,9.2,0.1%
YGL122C,0.0013,0.999,551.9,9.2,0.1%
YDL066W,0.0013,0.998,551.9,9.2,0.2%
YNL118C,0.0013,0.996,552.2,9.2,0.4%
YDR031W,0.0013,0.993,552.2,9.2,1.3%
YMR203W,0.0013,0.997,552.3,9.2,0.2%
YDR322W,0.0013,0.999,552.4,9.2,0.1%
YNL222W,0.0013,1.000,552.4,9.2,0.3%
YBL034C,0.0013,0.994,552.8,9.2,1.1%
YGL086W,0.0013,0.836,553.0,9.2,2.6%
YOL123W,0.0013,0.997,553.1,9.2,0.3%
YPL212C,0.0013,0.998,553.2,9.2,0.2%
YER122C,0.0013,0.998,553.3,9.2,0.2%
YOR063W,0.0013,0.994,553.3,9.2,0.5%
YPR125W,0.0013,0.999,553.9,9.2,0.1%
YHR121W,0.0013,0.992,553.9,9.2,0.8%
YGL120C,0.0013,0.998,554.0,9.2,0.1%
YFR010W,0.0013,0.998,554.0,9.2,0.2%
YMR168C,0.0013,0.994,554.1,9.2,0.7%
YML125C,0.0013,0.997,554.1,9.2,0.3%
YER048C,0.0013,0.997,554.2,9.2,0.2%
YOL001W,0.0013,1.000,554.5,9.2,0.0%
YGR061C,0.0013,0.999,554.5,9.2,0.1%
YGR284C,0.0012,0.995,554.6,9.2,0.5%
YLR427W,0.0012,0.996,554.7,9.2,0.2%
YHL007C,0.0012,0.998,554.8,9.2,0.2%
YIL022W,0.0012,0.997,555.0,9.2,0.3%
YHR052W,0.0012,0.998,555.2,9.3,0.1%
YOR165W,0.0012,0.997,555.3,9.3,0.3%
YGR019W,0.0012,0.997,555.4,9.3,0.2%
YCR088W,0.0012,0.997,555.4,9.3,0.2%
YBL056W,0.0012,0.996,556.0,9.3,0.4%
YMR269W,0.0012,0.999,556.0,9.3,0.1%
YDR231C,0.0012,0.994,556.2,9.3,0.9%
YKL027W,0.0012,0.996,556.3,9.3,0.3%
YLR330W,0.0012,0.998,556.4,9.3,0.2%
YHR170W,0.0012,0.999,556.4,9.3,0.0%
YNL020C,0.0012,0.999,556.6,9.3,0.3%
YCR020W-B,0.0012,1.000,556.9,9.3,0.0%
YHR085W,0.0012,0.993,556.9,9.3,0.6%
YPR137W,0.0012,0.868,557.0,9.3,4.5%
YLR150W,0.0012,0.994,557.1,9.3,0.5%
YHL033C,0.0012,0.995,557.1,9.3,0.3%
YOR187W,0.0012,0.998,557.3,9.3,0.1%
YAL043C,0.0012,0.993,557.5,9.3,0.3%
YCR077C,0.0012,0.995,557.7,9.3,0.4%
YNL045W,0.0012,0.996,557.8,9.3,0.4%
YJL125C,0.0012,0.994,557.9,9.3,0.5%
YHR169W,0.0012,0.997,558.2,9.3,0.2%
YJL087C,0.0012,0.978,558.4,9.3,1.0%
YNR026C,0.0012,0.998,558.5,9.3,0.2%
YKR055W,0.0012,0.997,558.5,9.3,0.4%
YOR126C,0.0012,0.991,558.5,9.3,0.8%
YDR358W,0.0012,0.995,558.6,9.3,0.2%
YML012W,0.0012,0.994,558.6,9.3,1.0%
YGR082W,0.0012,0.999,558.6,9.3,0.1%
YOR227W,0.0012,0.996,558.7,9.3,0.4%
YHR076W,0.0012,0.999,558.8,9.3,0.1%
YER134C,0.0012,0.992,558.9,9.3,0.3%
YJR072C,0.0012,0.998,559.2,9.3,0.1%
YLR384C,0.0012,0.998,559.2,9.3,0.1%
YER110C,0.0012,0.993,559.4,9.3,0.4%
YDR117C,0.0012,0.997,559.7,9.3,0.3%
YNL308C,0.0012,0.998,559.7,9.3,0.1%
YBL058W,0.0012,0.999,559.7,9.3,0.0%
YML114C,0.0012,0.998,559.7,9.3,0.1%
YMR106C,0.0012,0.999,560.0,9.3,0.3%
YJL042W,0.0012,0.996,560.4,9.3,0.1%
YLR128W,0.0012,0.998,560.6,9.3,0.1%
YLR192C,0.0012,0.997,560.6,9.3,0.2%
YLR201C,0.0012,0.987,560.7,9.3,1.5%
YDR129C,0.0012,0.999,560.8,9.3,0.1%
YML086C,0.0012,0.999,560.9,9.3,0.1%
YMR301C,0.0012,0.986,561.0,9.3,2.1%
YDR305C,0.0012,0.994,561.2,9.4,0.2%
YPL262W,0.0012,0.996,561.4,9.4,0.3%
YKL023W,0.0012,0.999,561.6,9.4,0.2%
YLR248W,0.0012,0.999,561.6,9.4,0.1%
YJR096W,0.0012,0.984,561.8,9.4,1.4%
YML097C,0.0012,0.998,561.8,9.4,0.2%
YLR262C,0.0012,0.998,561.8,9.4,0.2%
YER168C,0.0012,0.998,561.9,9.4,0.1%
YER166W,0.0012,0.997,562.1,9.4,0.4%
YMR240C,0.0012,0.994,562.5,9.4,0.4%
YBR201W,0.0012,0.992,562.9,9.4,1.0%
YIL173W,0.0012,0.988,562.9,9.4,1.9%
YJL222W,0.0012,0.988,562.9,9.4,1.9%
YNR065C,0.0012,0.988,562.9,9.4,1.9%
YDR295C,0.0012,0.998,562.9,9.4,0.2%
YBR155W,0.0012,0.998,563.0,9.4,0.2%
YJR076C,0.0012,0.994,563.0,9.4,0.6%
YPL040C,0.0012,0.996,563.1,9.4,0.5%
YPR033C,0.0012,0.996,563.2,9.4,0.3%
YMR124W,0.0012,0.999,563.3,9.4,0.1%
YPR058W,0.0012,0.999,563.4,9.4,0.1%
YGR271W,0.0012,1.000,563.5,9.4,0.0%
YDL132W,0.0012,0.999,563.5,9.4,0.1%
YPL210C,0.0012,0.997,563.6,9.4,0.3%
YDL007W,0.0012,0.996,563.6,9.4,0.4%
YCR043C,0.0012,0.988,563.6,9.4,1.3%
YDR021W,0.0012,0.999,563.7,9.4,0.1%
YDL126C,0.0012,0.999,563.7,9.4,0.1%
YLR088W,0.0012,0.995,563.8,9.4,1.5%
YDL236W,0.0012,0.998,563.9,9.4,0.2%
YDR500C,0.0012,0.994,564.1,9.4,0.5%
YDR365C,0.0012,0.998,564.2,9.4,0.1%
YLR129W,0.0012,0.995,564.4,9.4,0.4%
YJR014W,0.0012,0.998,564.4,9.4,0.1%
YMR131C,0.0012,0.999,564.4,9.4,0.0%
YIL027C,0.0012,0.997,564.5,9.4,0.2%
YBR221C,0.0012,0.997,564.5,9.4,0.2%
YDR527W,0.0012,0.997,564.8,9.4,0.3%
YIL043C,0.0012,0.996,564.8,9.4,0.3%
YJR098C,0.0012,0.990,564.8,9.4,1.8%
YGR148C,0.0012,0.991,565.0,9.4,0.8%
YBL026W,0.0012,0.997,565.0,9.4,0.2%
YOL148C,0.0012,0.995,565.5,9.4,0.4%
YLR398C,0.0012,0.998,565.6,9.4,0.1%
YNL061W,0.0012,0.999,565.7,9.4,0.1%
YPR133W-A,0.0012,0.998,565.8,9.4,0.2%
YOR332W,0.0012,0.997,565.9,9.4,0.3%
YAL055W,0.0012,0.996,566.0,9.4,0.4%
YPL146C,0.0012,0.998,566.1,9.4,0.2%
YPL169C,0.0012,0.993,566.1,9.4,0.6%
YJL204C,0.0012,0.995,566.2,9.4,0.5%
YDR001C,0.0012,0.996,566.2,9.4,0.1%
YDR489W,0.0012,0.992,566.3,9.4,0.8%
YPL188W,0.0012,0.995,566.3,9.4,0.3%
YER146W,0.0012,0.996,566.3,9.4,0.4%
YCR052W,0.0012,0.996,566.4,9.4,0.4%
YDR165W,0.0012,0.995,566.8,9.4,0.4%
YFR001W,0.0012,0.995,566.9,9.4,0.1%
YDR049W,0.0012,0.998,567.2,9.5,0.1%
YMR247C,0.0012,0.997,567.3,9.5,0.3%
YLR185W,0.0012,0.993,567.4,9.5,0.5%
YMR265C,0.0012,0.993,567.4,9.5,0.7%
YPL134C,0.0012,0.999,567.4,9.5,0.1%
YFR025C,0.0012,0.994,567.5,9.5,0.6%
YER132C,0.0012,0.993,567.5,9.5,0.5%
YHR054C,0.0012,0.995,567.6,9.5,0.3%
YHR056C,0.0012,0.995,567.6,9.5,0.3%
YHR013C,0.0012,0.997,567.7,9.5,0.2%
YJL134W,0.0012,0.992,567.7,9.5,1.1%
YOR335C,0.0012,0.997,567.8,9.5,0.3%
YJR019C,0.0012,0.994,567.8,9.5,0.6%
YNL130C,0.0012,0.998,567.9,9.5,0.1%
YEL026W,0.0012,0.993,567.9,9.5,0.6%
YJL005W,0.0012,0.994,568.1,9.5,0.7%
YOR036W,0.0012,0.995,568.5,9.5,0.2%
YGL106W,0.0012,0.996,568.6,9.5,0.3%
YGL043W,0.0012,0.995,568.7,9.5,0.5%
YMR152W,0.0012,0.990,568.8,9.5,0.3%
YGL125W,0.0012,0.999,568.9,9.5,0.0%
YBL015W,0.0012,0.997,568.9,9.5,0.3%
YCL035C,0.0012,0.929,569.1,9.5,2.4%
YGL233W,0.0012,0.988,569.4,9.5,1.7%
YOR173W,0.0012,0.955,569.5,9.5,2.7%
YGR198W,0.0012,0.991,569.5,9.5,0.9%
YGL023C,0.0012,0.997,569.5,9.5,0.2%
YPL032C,0.0012,0.992,569.6,9.5,0.8%
YIL145C,0.0012,0.995,569.6,9.5,0.4%
YER149C,0.0012,0.988,569.6,9.5,0.9%
YPR189W,0.0012,0.998,570.1,9.5,0.2%
YGL220W,0.0012,0.994,570.1,9.5,0.6%
YCR024C,0.0012,0.999,570.2,9.5,0.3%
YAL035W,0.0012,0.998,570.2,9.5,0.1%
YPR089W,0.0012,0.982,570.2,9.5,0.7%
YIL106W,0.0012,0.998,570.6,9.5,0.1%
YGR261C,0.0012,0.997,570.7,9.5,0.2%
YMR250W,0.0012,0.986,570.7,9.5,0.6%
YDR091C,0.0012,0.993,570.8,9.5,0.5%
YML057W,0.0012,0.998,570.9,9.5,0.2%
YOR326W,0.0012,0.996,570.9,9.5,0.3%
YGL060W,0.0012,1.000,570.9,9.5,0.0%
YPL161C,0.0012,0.899,571.0,9.5,3.5%
YER036C,0.0012,0.997,571.1,9.5,0.2%
YMR091C,0.0012,0.998,571.2,9.5,0.2%
YDR372C,0.0012,0.984,571.4,9.5,0.6%
YDR346C,0.0012,0.998,571.5,9.5,0.2%
YHR027C,0.0012,0.999,571.5,9.5,0.1%
YGL108C,0.0012,0.972,571.6,9.5,0.9%
YBL039C,0.0012,0.996,571.8,9.5,0.3%
YGL005C,0.0012,0.999,572.0,9.5,0.1%
YBR016W,0.0012,1.000,572.1,9.5,0.0%
YGL238W,0.0012,0.996,572.2,9.5,0.4%
YOR285W,0.0012,0.998,572.4,9.5,0.1%
YEL003W,0.0012,0.997,572.6,9.5,0.2%
YNL323W,0.0012,0.999,572.6,9.5,0.0%
YPL241C,0.0012,0.997,572.6,9.5,0.3%
YGR223C,0.0012,0.999,572.7,9.5,0.1%
YOL142W,0.0012,0.992,572.8,9.5,0.1%
YMR228W,0.0012,0.999,572.9,9.5,0.1%
YML016C,0.0012,0.893,573.1,9.6,6.4%
YDL064W,0.0012,0.994,573.3,9.6,0.5%
YGR048W,0.0012,0.998,573.4,9.6,0.2%
YOR094W,0.0012,0.995,573.5,9.6,0.5%
YHR171W,0.0012,0.999,573.6,9.6,0.1%
YGL100W,0.0012,0.997,573.8,9.6,0.2%
YLR333C,0.0012,0.992,573.9,9.6,0.6%
YPR110C,0.0012,0.998,574.0,9.6,0.2%
YGL234W,0.0012,0.998,574.0,9.6,0.1%
YPR028W,0.0012,0.995,574.1,9.6,0.5%
YKL039W,0.0012,0.999,574.2,9.6,0.1%
YMR146C,0.0012,0.998,574.2,9.6,0.2%
YHR039C-A,0.0012,0.996,574.4,9.6,0.3%
YGR270W,0.0012,0.965,574.5,9.6,1.1%
YDR382W,0.0012,0.994,574.5,9.6,0.5%
YDR320C,0.0012,0.994,574.7,9.6,0.3%
YOR310C,0.0012,0.998,574.8,9.6,0.2%
YIR017C,0.0012,0.995,574.9,9.6,0.3%
YLR306W,0.0012,0.999,574.9,9.6,0.3%
YDR447C,0.0012,0.993,575.0,9.6,0.5%
YML024W,0.0012,0.993,575.0,9.6,0.5%
YML001W,0.0012,0.996,575.1,9.6,0.4%
YGR135W,0.0012,0.998,575.1,9.6,0.1%
YJR033C,0.0012,0.999,575.2,9.6,0.1%
YLL014W,0.0012,0.999,575.2,9.6,0.2%
YOR257W,0.0012,1.000,575.4,9.6,0.0%
YJL154C,0.0012,0.998,575.5,9.6,0.2%
YIL133C,0.0012,0.994,575.6,9.6,0.5%
YNL096C,0.0012,0.995,575.6,9.6,0.4%
YMR072W,0.0012,0.999,575.6,9.6,0.1%
YHL023C,0.0012,0.999,575.7,9.6,0.1%
YPR129W,0.0012,0.996,575.9,9.6,0.3%
YKL019W,0.0012,0.994,575.9,9.6,0.7%
YGL119W,0.0012,0.995,576.0,9.6,0.5%
YOL049W,0.0012,0.998,576.1,9.6,0.2%
YMR049C,0.0012,0.998,576.2,9.6,0.1%
YAR002C-A,0.0012,0.996,576.2,9.6,0.3%
YPL063W,0.0012,0.998,576.3,9.6,0.1%
YJR006W,0.0012,0.999,576.4,9.6,0.1%
YPL237W,0.0012,0.998,576.5,9.6,0.2%
YBR127C,0.0012,0.997,577.1,9.6,0.2%
YBR101C,0.0012,0.997,577.1,9.6,0.3%
YGR210C,0.0012,0.993,577.3,9.6,0.5%
YPR118W,0.0012,0.998,577.3,9.6,0.1%
YNR030W,0.0012,0.992,577.5,9.6,0.8%
YPR135W,0.0012,0.963,577.5,9.6,1.4%
YDR510W,0.0012,0.997,577.7,9.6,0.2%
YGL076C,0.0012,0.993,577.8,9.6,0.5%
YDR267C,0.0012,0.995,577.9,9.6,0.5%
YPL115C,0.0012,0.800,578.0,9.6,4.0%
YDR333C,0.0012,0.999,578.1,9.6,0.0%
YNL301C,0.0012,0.994,578.1,9.6,0.5%
YOL120C,0.0012,0.994,578.1,9.6,0.5%
YEL022W,0.0012,0.994,578.1,9.6,0.5%
YER165W,0.0012,0.996,578.2,9.6,0.3%
YML094W,0.0012,0.997,578.3,9.6,0.3%
YNL001W,0.0012,0.999,578.3,9.6,0.1%
YOR274W,0.0012,0.996,578.3,9.6,0.2%
YCR009C,0.0012,0.998,578.4,9.6,0.2%
YHL025W,0.0012,0.997,578.5,9.6,0.4%
YDL092W,0.0012,0.999,578.5,9.6,0.1%
YGR078C,0.0012,0.997,578.5,9.6,0.2%
YDL229W,0.0012,0.994,578.6,9.6,0.4%
YDR172W,0.0012,0.997,578.7,9.6,0.2%
YER072W,0.0012,0.998,579.2,9.7,0.2%
YDL235C,0.0012,0.996,579.4,9.7,0.4%
YLR028C,0.0012,0.998,579.5,9.7,0.1%
YPL143W,0.0012,0.995,579.5,9.7,0.4%
YPR091C,0.0012,0.998,579.6,9.7,0.2%
YDR233C,0.0012,0.997,579.8,9.7,0.2%
YLR151C,0.0012,0.993,579.8,9.7,0.5%
YPR163C,0.0012,0.996,579.9,9.7,0.3%
YER031C,0.0012,0.996,579.9,9.7,0.4%
YAL003W,0.0012,0.994,580.0,9.7,0.4%
YPL084W,0.0012,0.998,580.1,9.7,0.2%
YDL014W,0.0012,0.997,580.1,9.7,0.3%
YJR064W,0.0012,0.997,580.1,9.7,0.2%
YOR216C,0.0012,0.986,580.3,9.7,0.5%
YJL136C,0.0012,0.994,580.3,9.7,0.5%
YKR057W,0.0012,0.994,580.3,9.7,0.5%
YEL059C-A,0.0012,0.998,580.4,9.7,1.0%
YDR019C,0.0012,0.996,580.5,9.7,0.1%
YLR441C,0.0012,0.994,580.7,9.7,0.5%
YBL067C,0.0012,0.996,580.7,9.7,0.3%
YJL128C,0.0012,0.997,581.3,9.7,0.3%
YBR137W,0.0012,0.999,581.3,9.7,0.0%
YLR021W,0.0012,0.995,581.4,9.7,0.5%
YKL006W,0.0012,0.996,581.5,9.7,0.2%
YER021W,0.0012,0.998,581.6,9.7,0.2%
YKL127W,0.0012,0.996,581.7,9.7,0.4%
YHR108W,0.0012,0.997,581.8,9.7,0.2%
YMR285C,0.0012,0.996,581.8,9.7,0.3%
YCL039W,0.0012,0.998,582.3,9.7,0.2%
YML105C,0.0012,0.997,582.6,9.7,0.3%
YDR074W,0.0012,0.993,582.7,9.7,0.2%
YBR125C,0.0012,0.966,582.8,9.7,2.0%
YJR007W,0.0012,0.995,582.9,9.7,0.4%
YHR058C,0.0012,0.995,582.9,9.7,0.6%
YPL249C-A,0.0012,0.994,583.0,9.7,0.5%
YBR151W,0.0012,0.998,583.5,9.7,0.2%
YFR031C-A,0.0012,0.993,583.6,9.7,0.5%
YIL018W,0.0012,0.993,583.6,9.7,0.5%
YDR176W,0.0012,0.998,583.7,9.7,0.2%
YOL098C,0.0012,0.998,583.8,9.7,0.1%
YDR460W,0.0012,0.967,583.8,9.7,1.0%
YOR275C,0.0012,0.999,584.1,9.7,0.1%
YIL115C,0.0012,0.998,584.2,9.7,0.2%
YMR300C,0.0012,0.998,584.3,9.7,0.1%
YNL134C,0.0012,0.998,584.6,9.7,0.1%
YPL099C,0.0012,1.000,584.6,9.7,0.0%
YEL036C,0.0012,0.996,584.6,9.7,0.3%
YLR172C,0.0012,0.995,584.8,9.7,0.4%
YOL090W,0.0012,0.998,584.9,9.7,0.1%
YMR277W,0.0012,0.989,584.9,9.7,1.0%
YMR038C,0.0012,0.997,585.0,9.7,0.3%
YLR435W,0.0012,0.996,585.2,9.8,0.4%
YOL127W,0.0012,0.994,585.3,9.8,0.4%
YOR369C,0.0012,0.993,585.5,9.8,0.5%
YML082W,0.0012,0.999,585.6,9.8,0.1%
YDR279W,0.0012,0.995,585.6,9.8,0.4%
YER182W,0.0012,1.000,585.6,9.8,0.0%
YOL057W,0.0012,0.997,585.6,9.8,0.3%
YGR095C,0.0012,0.998,585.7,9.8,0.2%
YLL035W,0.0012,0.995,585.7,9.8,1.2%
YGL164C,0.0012,0.998,585.7,9.8,0.2%
YOR234C,0.0012,0.995,585.8,9.8,0.3%
YNR051C,0.0012,0.997,585.9,9.8,0.2%
YOR222W,0.0012,0.996,586.0,9.8,0.3%
YBL072C,0.0012,0.995,586.1,9.8,0.4%
YER102W,0.0012,0.995,586.1,9.8,0.4%
YMR315W,0.0012,0.999,586.1,9.8,0.1%
YKL106W,0.0012,0.993,586.3,9.8,0.7%
YDR268W,0.0012,0.996,586.4,9.8,0.5%
YPL111W,0.0012,0.998,586.4,9.8,0.1%
YKL033W-A,0.0012,0.997,586.5,9.8,0.3%
YHR114W,0.0012,0.998,586.5,9.8,0.2%
YOR016C,0.0012,0.996,586.6,9.8,0.3%
YLR189C,0.0012,0.995,586.7,9.8,0.5%
YNL189W,0.0012,0.995,586.7,9.8,0.4%
YOR288C,0.0012,0.993,586.7,9.8,0.6%
YGR116W,0.0012,0.999,587.1,9.8,0.1%
YPR055W,0.0012,0.997,587.1,9.8,0.4%
YCR051W,0.0012,0.997,587.2,9.8,0.3%
